Name,ActorNumber,ActorName,English,Korean,Place,LocationX,LocationY,LocationZ,RotationX,RotationY,RotationZ,CLocationX,CLocationY,CLocationZ,Path
1,1,Bed,Bed,침대,Floor_1,-1290,-530,0,0,0,0,-1705,-530,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Bed_1F.BP_Bed_1F_C'
2,2,Bed,Bed,침대,Floor_2,795,-450,1145,0,0,0,795,475,1145,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Bed_2F.BP_Bed_2F_C'
3,3,Bed,Bed,침대,Floor_3,770,-550,2290,0,0,0,1130,-550,2290,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Bed_3F.BP_Bed_3F_C'
4,4,Bench,Bench,긴 의자,Floor_2,-740,920,1140,0,0,-90,100,920,1140,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Bench.BP_Bench_C'
5,5,Chair,Chair,의자,Floor_2,-680,115,1145,0,0,-90,-240,405,1145,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Chair.BP_Chair_C'
6,6,CupBoard,Cup Board,찬장,Floor_3,790,2100,2290,0,0,90,405,2730,2290,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_CupBoard.BP_CupBoard_C'
7,7,Desk,Desk,책상,Floor_1,-1345,2115,0,0,0,-90,-910,2115,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Desk_1F.BP_Desk_1F_C'
8,8,Desk,Desk,책상,Floor_2,770,2060,1150,0,0,0,1180,2690,1150,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Desk_2F.BP_Desk_2F_C'
9,9,Exit_Sign,Exit Sign,출구 표시,Floor_1,-150,-1818,330,0,90,-90,-625,-2078,330,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Exit_1F.BP_Exit_1F_C'
10,10,Exit_Sign,Exit Sign,출구 표시,Floor_2,-250,3378,1480,-90,90,0,-460,3378,1480,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Exit_2F.BP_Exit_2F_C'
11,11,Exit_Sign,Exit Sign,출구 표시,Floor_3,125,-2050,2645,0,90,-90,-335,-1815,2645,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Exit_3F.BP_Exit_3F_C'
12,12,Heater,Heater,난방기,Floor_1,-730,3060,0,0,0,0,-730,2470,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Heater.BP_Heater_C'
13,13,Medicine,Medicine,약 통,Floor_1,780,2115,0,0,0,0,1255,2820,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Medicine_1F.BP_Medicine_1F_C'
14,14,Medicine,Medicine,약 통,Floor_2,220,2675,1250,0,0,0,220,3025,1250,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Medicine_2F.BP_Medicine_2F_C'
15,15,Medicine,Medicine,약 통,Floor_3,-820,-1560,2560,0,0,0,-820,-1735,2430,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Medicine_3F.BP_Medicine_3F_C'
16,16,Medicine_Box,Medicine Box,약 상자,Floor_1,785,-560,0,0,0,0,785,425,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Medicine_Box_1F.BP_Medicine_Box_1F_C'
17,17,Medicine_Box,Medicine Box,약 상자,Floor_2,-735,-1160,1250,0,0,0,-735,-1160,1145,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Medicine_Box_2F.BP_Medicine_Box_2F_C'
18,18,Medicine_Box,Medicine Box,약 상자,Floor_3,305,2945,2430,0,0,0,305,3295,2560,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Medicine_Box_3F.BP_Medicine_Box_3F_C'
19,19,Operating_Bed,Operating Bed,수술 침대,Floor_1,145,480,0,0,0,-90,-255,480,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Operating_Bed.BP_Operating_Bed_C'
20,20,Pillar,Pillar,기둥,Floor_1,-260,260,0,0,0,0,0,260,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/1F/BP_Pillar_1F.BP_Pillar_1F_C'
21,21,Pillar,Pillar,기둥,Floor_3,-260,2180,2290,0,0,0,-260,3055,2290,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Pillar_3F.BP_Pillar_3F_C'
22,22,Shower,Shower,샤워기,Floor_3,-1815,2140,2290,0,0,180,-1815,2690,2290,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Shower.BP_Shower_C'
23,23,Shower_Curtain,Shower Curtain,샤워 커튼,Floor_3,-1795,2145,2295,0,0,180,-1795,1505,2295,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Shower_Curtain.BP_Shower_Curtain_C'
24,24,Sink,Sink,싱크대,Floor_2,-1275,2085,1145,0,0,-90,-1275,2540,1145,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Sink.BP_Sink_C'
25,25,Toilet,Toilet,변기,Floor_3,-1315,-520,2290,0,0,-90,-1775,-520,2290,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/3F/BP_Toilet.BP_Toilet_C'
26,26,Warning_Sign,Warning Sign,경고 표시,Floor_2,-1810,-570,1545,-180,90,0,-1810,-1140,1545,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hospital/2F/BP_Warning_Sign.BP_Warning_Sign_C'
