Name,ActorNumber,ActorName,English,Korean,Place,LocationX,LocationY,LocationZ,RotationX,RotationY,RotationZ,CLocationX,CLocationY,CLocationZ,Path
1,1,Ashtrays,Ashtrays,재떨이,Hotel_Corridor,-1800,2235,116,0,0,0,-1855,2235,116,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Ashtrays.BP_Anomaly_Ashtrays_C'
2,2,Ballerina,Ballerina,발레리나,Hotel_Corridor,1160,-835,115,0,0,0,1220,-835,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Ballerina.BP_Anomaly_Ballerina_C'
3,3,Bathtub,Bathtub,욕조,Hotel_Private,-735,2730,0,0,0,180,-735,2960,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Bathtub.BP_Anomaly_Bathtub_C'
4,4,Bust,Bust,조각상,Hotel_Corridor,1600,100,115,0,0,0,1600,115,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Bust.BP_Anomaly_Bust_C'
5,5,CandleStick,Candle Stick,양초,Hotel_Corridor,450,1640,115,0,0,90,450,1580,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_CandleStick.BP_Anomaly_CandleStick_C'
6,6,Chair,Chair,의자,Hotel_Private,-1865,2770,0,0,0,-90,-1790,2665,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Chair.BP_Anomaly_Chair_C'
7,7,Chess,Chess,체스,Hotel_Reception,3370,-2390,90,0,0,0,3385,-2380,90,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Chess.BP_Anomaly_Chess_C'
8,8,Clock,Clock,시계,Hotel_Corridor,1910,2095,5,0,0,90,1910,1835,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Clock.BP_Anomaly_Clock_C'
9,9,Cloth,Cloth,천,Hotel_Private,-2800,2735,0,0,0,0,-2720,2875,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Cloth.BP_Anomaly_Cloth_C'
10,10,Covered,Covered,천으로 덮인 것,Hotel_Private,-2400,1435,5,0,0,180,-2400,1605,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Covered.BP_Anomaly_Covered_C'
11,11,Cup,Cup,컵,Hotel_Reception,2625,-3125,100,0,0,0,2675,-3125,100,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Cup.BP_Anomaly_Cup_C'
12,12,Dressor,Dressor,드레서,Hotel_Private,-2740,35,5,0,0,90,-2740,-175,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Dressor.BP_Anomaly_Dressor_C'
13,13,Flower,Flower,꽃,Hotel_Private,-470,1655,5,0,0,0,-350,1585,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Flower.BP_Anomaly_Flower_C'
14,14,Gramophone,Gramophone,축음기,Hotel_Reception,3290,-2390,90,0,0,0,3260,-2390,90,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Gramophone.BP_Anomaly_Gramophone_C'
15,15,Horse,Horse,말,Hotel_Corridor,-2155,840,115,0,0,-90,-2135,820,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Horse.BP_Anomaly_Horse_C'
16,16,MoveTable,Move Table,이동식 카트,Hotel_Corridor,-4350,775,5,0,0,-90,-4350,620,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_MoveTable.BP_Anomaly_MoveTable_C'
17,17,Newspaper,Newspaper,신문,Hotel_Reception,2505,-2745,90,0,0,0,2525,-2720,90,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Newspaper.BP_Anomaly_Newspaper_C'
18,18,OfficeChair,Office Chair,사무실 의자,Hotel_Private,-2155,2760,0,0,0,180,-2250,2840,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_OfficeChair.BP_Anomaly_OfficeChair_C'
19,19,OttomanChair,Ottoman Chair,가죽 의자,Hotel_Private,-900,5,5,0,0,0,-960,5,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_OttomanChair.BP_Anomaly_OttomanChair_C'
20,20,Pen,Pen,펜,Hotel_Reception,2515,-2805,90,0,0,90,2470,-2805,90,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Pen.BP_Anomaly_Pen_C'
21,21,Phone,Phone,전화기,Hotel_Reception,2495,-2640,65,0,0,90,2485,-2660,65,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Phone.BP_Anomaly_Phone_C'
22,22,PrivatePicture,Private Picture,객실 그림,Hotel_Private,-405,-15,175,0,0,0,-405,-75,175,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_PrivatePicture.BP_Anomaly_PrivatePicture_C'
23,23,PictureA,Picture A,그림 A,Hotel_Corridor,-3075,895,255,0,0,-90,-3075,895,270,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/Picture/BP_Anomaly_Picture_A.BP_Anomaly_Picture_A_C'
24,24,PictureB,Picture B,그림 B,Hotel_Corridor,340,680,255,0,0,180,340,680,270,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/Picture/BP_Anomaly_Picture_B.BP_Anomaly_Picture_B_C'
25,25,PictureC,Picture C,그림 C,Hotel_Corridor,390,205,255,0,0,0,390,205,270,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/Picture/BP_Anomaly_Picture_C.BP_Anomaly_Picture_C_C'
26,26,PictureD,Picture D,그림 D,Hotel_Corridor,-4430,2100,255,0,0,0,-4430,2100,270,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/Picture/BP_Anomaly_Picture_D.BP_Anomaly_Picture_D_C'
27,27,Rose,Rose,장미,Hotel_Reception,2790,-3125,105,0,0,0,2800,-3115,105,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Reception/BP_Anomaly_Rose.BP_Anomaly_Rose_C'
28,28,RoundTable,Round Table,원형 테이블,Hotel_Private,1405,-1335,5,0,0,0,1405,-1165,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_RoundTable.BP_Anomaly_RoundTable_C'
29,29,Shelving,Shelving,책장,Hotel_Corridor,4135,255,5,0,0,180,4225,255,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Shelving.BP_Anomaly_Shelving_C'
30,30,SignReception,Reception Sign,접견실 표시,Hotel_Corridor,2990,-2275,315,0,0,0,2990,-2255,315,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Sign_ReceptionRoom.BP_Anomaly_Sign_ReceptionRoom_C'
31,31,SmallPicture,Small Picture,작은 그림,Hotel_Corridor,-1135,570,115,0,0,0,-1165,570,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Small_Picture.BP_Anomaly_Small_Picture_C'
32,32,Sofa,Sofa,소파,Hotel_Private,4115,1400,5,0,0,180,4115,1515,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Sofa.BP_Anomaly_Sofa_C'
33,33,Table,Table,테이블,Hotel_Private,1850,-205,5,0,0,0,1865,-205,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Table.BP_Anomaly_Table_C'
34,34,Toilet,Toilet,변기,Hotel_Private,1320,1410,5,0,0,-90,1295,1290,5,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_Toilet.BP_Anomaly_Toilet_C'
35,35,TV,TV,TV,Hotel_Private,-3190,2790,0,0,0,180,-3300,2590,0,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Private/BP_Anomaly_TV.BP_Anomaly_TV_C'
36,36,Vase,Vase,항아리,Hotel_Corridor,-2780,2240,115,0,0,0,-2850,2240,115,/Script/Engine.Blueprint'/Game/HotelSecurity/Anomaly/Hotel/Corridor/BP_Anomaly_Vase.BP_Anomaly_Vase_C'
